gene_id;chr_n;pos0;biotype;fold_change
ENSG00000008128;chr1;1655766;protein_coding
ENSG00000008130;chr1;1711896;protein_coding
ENSG00000078808;chr1;1167411;protein_coding
ENSG00000107404;chr1;1284730;protein_coding
ENSG00000127054;chr1;1260071;protein_coding
ENSG00000131584;chr1;1244989;protein_coding
ENSG00000131591;chr1;1051741;protein_coding
ENSG00000160072;chr1;1407143;protein_coding
ENSG00000160075;chr1;1510249;protein_coding
ENSG00000160087;chr1;1209265;protein_coding
ENSG00000162571;chr1;1109264;protein_coding
ENSG00000162572;chr1;1215816;protein_coding
ENSG00000162576;chr1;1297157;protein_coding
ENSG00000169962;chr1;1266694;protein_coding
ENSG00000169972;chr1;1243947;protein_coding
ENSG00000175756;chr1;1310875;protein_coding
ENSG00000176022;chr1;1167629;protein_coding
ENSG00000179403;chr1;1370241;protein_coding
ENSG00000184163;chr1;1182102;protein_coding
ENSG00000185097;chr1;622053;protein_coding
ENSG00000186092;chr1;69091;protein_coding
ENSG00000186827;chr1;1149518;protein_coding
ENSG00000186891;chr1;1142071;protein_coding
ENSG00000187583;chr1;901877;protein_coding
ENSG00000187608;chr1;948803;protein_coding
ENSG00000187634;chr1;860260;protein_coding;2.162158468989596
ENSG00000187642;chr1;917497;protein_coding
ENSG00000187961;chr1;895967;protein_coding
ENSG00000188157;chr1;955503;protein_coding
ENSG00000188290;chr1;935552;protein_coding
ENSG00000188976;chr1;894689;protein_coding
ENSG00000189339;chr1;1624167;protein_coding
ENSG00000189409;chr1;1567474;protein_coding
ENSG00000197530;chr1;1550795;protein_coding
ENSG00000197785;chr1;1447531;protein_coding
ENSG00000205090;chr1;1475833;protein_coding
ENSG00000205116;chr1;1361508;protein_coding
ENSG00000215014;chr1;1510355;protein_coding
ENSG00000215790;chr1;1677431;protein_coding
ENSG00000215915;chr1;1385069;protein_coding
ENSG00000221978;chr1;1334708;protein_coding
ENSG00000224051;chr1;1260136;protein_coding
ENSG00000224870;chr1;1334902;protein_coding
ENSG00000228594;chr1;1535476;protein_coding
ENSG00000235098;chr1;1357149;protein_coding
ENSG00000235249;chr1;367640;protein_coding
ENSG00000237330;chr1;1009687;protein_coding
ENSG00000237683;chr1;139379;protein_coding
ENSG00000242485;chr1;1342693;protein_coding
ENSG00000248333;chr1;1590473;protein_coding
ENSG00000268179;chr1;866445;protein_coding
ENSG00000269308;chr1;818043;protein_coding
