gene_id;chr_n;pos0;biotype;fold_change
ENSMUSG00000004768;chr1;33776741;protein_coding
ENSMUSG00000026123;chr1;34906804;protein_coding
ENSMUSG00000026124;chr1;34592493;protein_coding;4.748204264273635
ENSMUSG00000026125;chr1;34555275;protein_coding
ENSMUSG00000026126;chr1;34516591;protein_coding
ENSMUSG00000026127;chr1;34496717;protein_coding
ENSMUSG00000026131;chr1;33965125;protein_coding;1.5626114059638319
ENSMUSG00000026134;chr1;33726600;protein_coding
ENSMUSG00000037503;chr1;34899895;protein_coding
ENSMUSG00000037509;chr1;34858605;protein_coding;-1.6766183216122386
ENSMUSG00000037529;chr1;34617788;protein_coding
ENSMUSG00000042111;chr1;34496189;protein_coding
ENSMUSG00000042182;chr1;33964635;protein_coding
ENSMUSG00000042197;chr1;33871421;protein_coding
ENSMUSG00000042215;chr1;33814616;protein_coding
ENSMUSG00000044744;chr1;33726688;protein_coding
ENSMUSG00000045174;chr1;34636572;protein_coding
ENSMUSG00000045815;chr1;34636458;protein_coding
ENSMUSG00000070955;chr1;34788960;protein_coding
ENSMUSG00000073707;chr1;34503604;protein_coding
ENSMUSG00000079617;chr1;34460294;protein_coding
ENSMUSG00000026182;chr1;73062466;protein_coding
ENSMUSG00000026185;chr1;72921439;protein_coding
ENSMUSG00000026187;chr1;72354107;protein_coding
ENSMUSG00000026188;chr1;72330947;protein_coding
ENSMUSG00000026189;chr1;72330828;protein_coding
ENSMUSG00000039323;chr1;72871066;protein_coding;-1.6915780439979304
ENSMUSG00000039342;chr1;72747138;protein_coding
ENSMUSG00000039354;chr1;72629832;protein_coding
ENSMUSG00000039372;chr1;72583504;protein_coding
ENSMUSG00000039395;chr1;72258881;protein_coding
ENSMUSG00000046330;chr1;72757864;protein_coding
ENSMUSG00000055322;chr1;73988603;protein_coding
ENSMUSG00000060125;chr1;72050862;protein_coding
ENSMUSG00000025905;chr1;5578574;protein_coding
ENSMUSG00000025907;chr1;6204743;protein_coding
ENSMUSG00000033740;chr1;6720132;protein_coding
ENSMUSG00000033774;chr1;5907374;protein_coding
ENSMUSG00000048538;chr1;7167820;protein_coding
